3021	亜	6・1・12
3022	唖	6・1・245
3023	娃	6・1・24
3024	阿	6・1・134
3025	哀	46・1・3
3026	愛	46・1・246
3027	挨	46・1・12345
3028	姶	235・46・24・24
3029	逢	26・2346・136
302a	葵	256・126・146
302b	茜	456・1345・146
302c	穐	6・346・234
302d	悪	256・1・3
302e	握	256・1・123
302f	渥	256・1・156
3030	旭	6・1246・1236
3031	葦	6・12・12456
3032	芦	26・245・146
3033	鯵	46・2456・12346
3034	梓	56・1256・23456
3035	圧	26・1・1235
3036	斡	26・1・12
3037	扱	6・146・1
3038	宛	6・124・14
3039	姐	56・456・24
303a	虻	46・56・13456
303b	飴	6・12・134
303c	絢	256・1246・2345
303d	綾	46・125・2345
303e	鮎	456・1234・12346
303f	或	256・3・2346
3040	粟	256・356・246
3041	袷	46・246・2456
3042	安	456・1・34
3043	庵	456・1・1234
3044	按	456・1・124
3045	暗	456・1・146
3046	案	456・1・126
3047	闇	456・1・16
3048	鞍	456・1・3
3049	杏	26・345・126
304a	以	6・12・123
304b	伊	6・12・1236
304c	位	6・12・146
304d	依	46・12・123
304e	偉	6・12・124
304f	囲	6・12・16
3050	夷	6・12・15
3051	委	6・12・24
3052	威	46・12・24
3053	尉	46・12・3
3054	惟	6・12・125
3055	意	6・12・246
3056	慰	6・12・13
3057	易	6・12・34
3058	椅	6・12・126
3059	為	6・12・3
305a	畏	6・12・135
305b	異	6・12・2345
305c	移	6・12・14
305d	維	6・12・12
305e	緯	46・12・12
305f	胃	6・12・145
3060	萎	46・12・146
3061	衣	46・12・246
3062	謂	46・12・13
3063	違	6・12・1235
3064	遺	46・12・136
3065	医	6・12・136
3066	井	56・12456・12
3067	亥	46・2・12346
3068	域	256・25・1235
3069	育	256・12・2456
306a	郁	256・12・134
306b	磯	256・126・1256
306c	一	5・3456・1
306d	壱	26・25・15
306e	溢	26・12・156
306f	逸	26・12・136
3070	稲	6・1234・12
3071	茨	26・134・146
3072	芋	6・14・12
3073	鰯	256・26・12346
3074	允	235・456・12・1236
3075	印	456・12・1256
3076	咽	235・456・12・245
3077	員	456・12・245
3078	因	456・12・123
3079	姻	456・12・24
307a	引	456・12・1236
307b	飲	456・12・234
307c	淫	456・12・156
307d	胤	456・12・145
307e	蔭	456・12・12456
3121	院	456・12・134
3122	陰	456・12・16
3123	隠	456・12・146
3124	韻	456・12・2345
3125	吋	456・145・245
3126	右	6・14・12356
3127	宇	6・14・14
3128	烏	6・14・3
3129	羽	6・14・136
312a	迂	235・6・14・136
312b	雨	6・14・1
312c	卯	46・56・134
312d	鵜	46・12345・2345
312e	窺	256・126・1
312f	丑	6・1345・1
3130	碓	46・135・12
3131	臼	6・146・14
3132	渦	26・356・14
3133	嘘	6・246・245
3134	唄	46・46・245
3135	欝	26・14・126
3136	蔚	26・14・146
3137	鰻	456・1356・12346
3138	姥	56・56・24
3139	厩	6・146・1234
313a	浦	56・2346・14
313b	瓜	235・56・16・14
313c	閏	456・256・16
313d	噂	456・2456・245
313e	云	456・14・12
313f	運	456・14・136
3140	雲	456・14・146
3141	荏	456・123・146
3142	餌	56・236・134
3143	叡	46・124・1356
3144	営	46・124・12
3145	嬰	235・46・124・24
3146	影	46・124・16
3147	映	46・124・14
3148	曳	46・124・1236
3149	栄	46・124・156
314a	永	46・124・13
314b	泳	46・124・24
314c	洩	235・46・124・156
314d	瑛	235・46・124・14
314e	盈	46・124・15
314f	穎	46・124・126
3150	頴	46・124・1256
3151	英	46・124・146
3152	衛	46・124・234
3153	詠	46・124・345
3154	鋭	46・124・1456
3155	液	256・124・156
3156	疫	256・124・34
3157	益	256・124・15
3158	駅	256・124・14
3159	悦	26・124・125
315a	謁	26・124・13
315b	越	26・124・246
315c	閲	26・124・16
315d	榎	56・16・126
315e	厭	456・124・1234
315f	円	456・124・1356
3160	園	456・124・2456
3161	堰	456・124・1235
3162	奄	456・124・15
3163	宴	456・124・14
3164	延	456・124・234
3165	怨	456・124・246
3166	掩	6・124・124
3167	援	456・124・124
3168	沿	6・124・2456
3169	演	456・124・156
316a	炎	456・124・2346
316b	焔	456・124・1236
316c	煙	456・124・1246
316d	燕	456・124・3
316e	猿	6・124・156
316f	縁	456・124・1346
3170	艶	456・124・12
3171	苑	456・124・146
3172	薗	6・124・146
3173	遠	456・124・2345
3174	鉛	456・124・13
3175	鴛	6・124・2345
3176	塩	456・124・1256
3177	於	6・24・2346
3178	汚	6・24・126
3179	甥	235・46・12456・12
317a	凹	46・24・1
317b	央	46・24・15
317c	奥	46・24・146
317d	往	46・24・234
317e	応	46・24・246
3221	押	46・24・24
3222	旺	46・24・1236
3223	横	46・24・345
3224	欧	46・24・1246
3225	殴	46・24・13
3226	王	46・24・14
3227	翁	46・24・136
3228	襖	46・24・2456
3229	鴬	46・24・125
322a	鴎	46・24・2345
322b	黄	46・24・126
322c	岡	456・234・24
322d	沖	6・1345・24
322e	荻	256・12345・146
322f	億	256・24・123
3230	屋	256・24・34
3231	憶	256・24・125
3232	臆	256・24・145
3233	桶	46・345・126
3234	牡	56・56・1
3235	乙	26・24・3
3236	俺	456・124・123
3237	卸	6・156・24
3238	恩	456・24・246
3239	温	456・24・1
323a	穏	456・24・24
323b	音	456・24・2345
323c	下	56・16・1256
323d	化	56・16・123
323e	仮	56・16・125
323f	何	56・356・13
3240	伽	26・356・1236
3241	価	56・16・1
3242	佳	26・356・123
3243	加	56・16・146
3244	可	56・16・245
3245	嘉	56・356・245
3246	夏	56・16・13
3247	嫁	56・16・345
3248	家	56・16・12
3249	寡	56・356・14
324a	科	56・16・234
324b	暇	56・356・1236
324c	果	56・356・136
324d	架	56・16・16
324e	歌	56・16・14
324f	河	56・16・3
3250	火	56・16・1236
3251	珂	56・16・24
3252	禍	56・356・1256
3253	禾	56・356・234
3254	稼	56・16・12456
3255	箇	56・16・135
3256	花	56・16・136
3257	苛	56・356・12456
3258	茄	26・356・12456
3259	荷	56・356・123
325a	華	26・356・136
325b	菓	56・356・146
325c	蝦	56・16・13456
325d	課	26・356・13
325e	嘩	26・356・245
325f	貨	56・16・1245
3260	迦	235・56・16・136
3261	過	56・16・1456
3262	霞	56・356・1
3263	蚊	456・45・16
3264	俄	56・2・123
3265	峨	56・2・34
3266	我	56・2・2346
3267	牙	56・2・126
3268	画	56・2・135
3269	臥	56・2・1256
326a	芽	56・2・123456
326b	蛾	56・2・13456
326c	賀	56・2・1245
326d	雅	56・2・13
326e	餓	56・2・134
326f	駕	56・2・14
3270	介	46・16・123
3271	会	46・16・1
3272	解	46・16・2345
3273	回	46・16・1356
3274	塊	46・16・16
3275	壊	46・16・3
3276	廻	235・46・16・1
3277	快	46・16・246
3278	怪	46・16・34
3279	悔	46・16・146
327a	恢	46・16・125
327b	懐	46・16・13
327c	戒	46・16・12
327d	拐	46・16・12345
327e	改	46・16・135
3321	魁	46・16・1456
