5021	弌	235・15・25・3
5022	丐	235・125・16・1
5023	丕	235・145・1236・1
5024	个	235・1245・16・123
5025	丱	235・245・16・13
5026	丶	235・45・1345・3
5027	丼	235・245・135・123
5028	丿	235・125・345・234
5029	乂	235・125・2・234
502a	乖	235・125・16・234
502b	乘	235・125・236・234
502c	亂	235・245・15・3
502d	亅	235・15・1246・1234
502e	豫	235・1245・345・12
502f	亊	235・1245・236・1234
5030	舒	6・356・1256
5031	弍	235・24・123・3
5032	于	235・24・14・12
5033	亞	235・24・1・12
5034	亟	235・24・1246・12
5035	亠	235・125・2345・13
5036	亢	6・234・13
5037	亰	235・125・1246・12346
5038	亳	235・145・136・13
5039	亶	235・245・135・12346
503a	从	235・245・346・123
503b	仍	235・125・236・123
503c	仄	235・145・2456・123
503d	仆	26・13456・123
503e	仂	235・145・245・123
503f	仗	235・125・236・1236
5040	仞	235・245・236・123
5041	仭	235・245・236・1236
5042	仟	235・245・12456・123
5043	价	235・125・16・123
5044	伉	235・125・246・1236
5045	佚	235・15・12・123
5046	估	235・1245・246・1236
5047	佛	235・15・45・123
5048	佝	56・146・1345
5049	佗	56・4・123
504a	佇	235・24・2345・123
504b	佶	235・15・126・123
504c	侈	235・1245・1256・123
504d	侏	6・1456・123
504e	侘	235・24・46・1236
504f	佻	235・125・1235・123
5050	佩	235・145・13・123
5051	佰	235・145・136・1236
5052	侑	46・346・1236
5053	佯	235・125・345・123
5054	來	235・125・15・123
5055	侖	235・245・245・123
5056	儘	235・2345・236・123
5057	俔	235・245・1246・123
5058	俟	235・1245・1256・1236
5059	俎	235・24・2456・123
505a	俘	235・125・13456・1236
505b	俛	235・15・13456・123
505c	俑	235・125・345・1236
505d	俚	235・24・15・123
505e	俐	235・24・15・1236
505f	俤	235・125・12345・123
5060	俥	235・24・156・123
5061	倚	235・24・12・1236
5062	倨	235・24・246・123
5063	倔	235・15・146・123
5064	倪	235・125・235・123
5065	倥	235・24・234・123
5066	倅	235・125・156・123
5067	伜	235・125・156・1236
5068	俶	235・145・1456・123
5069	倡	235・125・1256・123
506a	倩	235・245・12456・1236
506b	倬	235・145・135・123
506c	俾	235・145・1236・123
506d	俯	235・15・13456・1236
506e	們	235・245・56・123
506f	倆	235・125・125・123
5070	偃	235・245・124・1236
