2d21	①	45・3456・1・25
2d22	②	45・3456・12・25
2d23	③	45・3456・14・25
2d24	④	45・3456・145・25
2d25	⑤	45・3456・15・25
2d26	⑥	45・3456・124・25
2d27	⑦	45・3456・1245・25
2d28	⑧	45・3456・125・25
2d29	⑨	45・3456・24・25
2d2a	⑩	45・3456・1・245
2d2b	⑪	45・3456・1・1
2d2c	⑫	45・3456・1・12
2d2d	⑬	45・3456・1・14
2d2e	⑭	45・3456・1・145
2d2f	⑮	45・3456・1・15
2d30	⑯	45・3456・1・124
2d31	⑰	45・3456・1・1245
2d32	⑱	45・3456・1・125
2d33	⑲	45・3456・1・24
2d34	⑳	45・3456・12・245
2d35	Ⅰ	45・3456・1・36
2d36	Ⅱ	45・3456・12・36
2d37	Ⅲ	45・3456・14・36
2d38	Ⅳ	45・3456・145・36
2d39	Ⅴ	45・3456・15・36
2d3a	Ⅵ	45・3456・124・36
2d3b	Ⅶ	45・3456・1245・36
2d3c	Ⅷ	45・3456・125・36
2d3d	Ⅸ	45・3456・24・36
2d3e	Ⅹ	45・3456・245・36
2d40	㍉	5・25・12356・125
2d41	㌔	5・25・126・245
2d42	㌢	5・25・12456・356
2d43	㍍	5・25・123456・25
2d44	㌘	5・25・5・146
2d45	㌧	5・25・2345・356
2d46	㌃	5・25・1・25
2d47	㌶	5・25・12346・146
2d48	㍑	5・25・125・2345
2d49	㍗	5・25・3・2345
2d4a	㌍	5・25・16・245
2d4b	㌦	5・25・2345・145
2d4c	㌣	5・25・12456・2345
2d4d	㌫	5・25・6・136
2d4e	㍊	5・25・12356・145
2d4f	㌻	5・25・6・12346
2d50	㎜	5・25・134・134
2d51	㎝	5・25・14・134
2d52	㎞	5・25・13・134
2d53	㎎	5・25・134・1245
2d54	㎏	5・25・13・1245
2d55	㏄	5・25・14・14
2d56	㎡	5・25・134・126
2d60	〝	5・25・1236・36
2d61	〟	5・25・36・3456
2d62	№	5・25・1345・135
2d63	㏍	5・25・13・13
2d64	℡	5・25・2345・15
2d65	㊤	5・25・14・124
2d66	㊥	5・25・13・16
2d67	㊦	5・25・1256・135
2d68	㊧	5・25・1236・135
2d69	㊨	5・25・12356・126
2d6a	㈱	5・25・16・1346
2d6b	㈲	5・25・346・14
2d6c	㈹	5・25・5・135
2d6d	㍾	5・25・123456・12
2d6e	㍽	5・25・135・12
2d6f	㍼	5・25・4・2456
2d70	≒	5・25・5・25
2d71	≡	5・25・2356・2356
2d72	∫	5・25・2346・2
2d73	∮	5・25・2346・2346
2d74	∑	5・25・46・234
2d75	√	5・25・345・2
2d76	⊥	5・25・356・2
2d77	∠	5・25・1456・2
2d78	∟	5・25・1456・1235
2d79	⊿	5・25・346・2
2d7a	∵	5・25・16・1
2d7b	∩	5・25・146・2
2d7c	∪	5・25・136・2
